datetime country     shape                                                    city
102 10/10/2000 03:00      us      oval                                              perryville
103 10/10/2000 03:45    <NA>     flash             carnival cruise ship (paradise) (caribbean)
104 10/10/2000 06:15      us     other                                           boynton beach
105 10/10/2000 07:30      ca  cylinder                                       victoria (canada)
106 10/10/2000 16:00    <NA>  triangle                                                  jueanu
107 10/10/2000 20:20    <NA>      oval                           valley park area of st. louis
108 10/10/2000 20:30      us     light                                               brinktown
109 10/10/2000 21:30      us     light                                                florence
110 10/10/2000 21:30      us   unknown                                          seattle (west)
111 10/10/2000 22:00      us   diamond                                            port orchard
112 10/10/2001 03:00      us  triangle                                           rockwell city
113 10/10/2001 04:33      au formation                              sydney (nsw&#44 australia)
114 10/10/2001 20:10      ca     other                                      vancouver (canada)
115 10/10/2001 20:35      us    circle                                                 hayward
116 10/10/2001 21:15      us rectangle                                                 ottumwa
117 10/10/2001 21:30      us  changing                                                  fresno
118 10/10/2001 22:00      us  triangle                                                 phoenix
119 10/10/2001 23:00      us  triangle                                          virginia beach
120 10/10/2002 00:01      us     flash                                                 hayward
121 10/10/2002 02:00      us   unknown                                               philomath
122 10/10/2002 04:00      au    circle              adelaide (pt. wakefield) (south australia)
123 10/10/2002 06:00      us    sphere                                                 seattle
124 10/10/2002 19:45      ca   unknown                                       victoria (canada)
125 10/10/2002 20:30      us     other                                              cincinnati
126 10/10/2002 21:00      us    circle                                                portland
127 10/10/2002 22:00    <NA>       egg                                                 bahamas
128 10/10/2002 22:00      au     cross                           burnie (tasmania) (australia)
129 10/10/2003 09:00    <NA>     light                                             new buffulo
130 10/10/2003 12:00      us      oval                                                alhambra
131 10/10/2003 18:00      us    sphere                                            indianapolis
132 10/10/2003 19:15      us     other                                             centreville
133 10/10/2003 20:05      us     light                                              grand view
134 10/10/2003 20:25      us      oval                                              temperance
135 10/10/2003 21:10      us formation                                          crescent beach
136 10/10/2003 22:00      us     light                                             albuquerque
137 10/10/2003 23:00    <NA>   unknown                  bickerton (near wetherby) (uk/england)
138 10/10/2003 23:25      us    sphere                                                 gleason
139 10/10/2004 02:50      us  triangle                                                  mahwah
140 10/10/2004 03:30    <NA>     other                                  worthington st. forest
141 10/10/2004 03:50      ca  changing                             portage la prairie (canada)
142 10/10/2004 04:18      us    sphere                                             terre haute
143 10/10/2004 08:30      us      oval                                            indianapolis
144 10/10/2004 09:45      ca   unknown                                          nobel (canada)
145 10/10/2004 14:00      us    circle                                              morgantown
146 10/10/2004 15:00      us   unknown                                                berkeley
147 10/10/2004 15:00      us    sphere                                             rock island
148 10/10/2004 15:20    <NA>      oval                                   kedainiai (lithuania)
149 10/10/2004 19:00    <NA> formation                                              chateauqua
150 10/10/2004 19:00      us    circle                                                  ripley
151 10/10/2004 21:00      us     flash                                               faribault
152 10/10/2004 21:00      us     light                                               mansfield
153 10/10/2004 22:00      us     light                                                columbia
154 10/10/2004 23:30      us    sphere                                                 gleason
155 10/10/2005 07:40      us     other                                                 seattle
156 10/10/2005 09:00      us     other                                         apache junction
157 10/10/2005 09:30      us      oval                                       north miami beach
158 10/10/2005 11:30      us      <NA>                                               edgewater
159 10/10/2005 14:45      us       egg                                             los angeles
160 10/10/2005 20:00      us  triangle                                                 loretto
161 10/10/2005 20:00      gb formation                                      newtown (uk/wales)
162 10/10/2005 21:00      us   unknown                                               lewisburg
163 10/10/2005 21:30      us     other                                       north miami beach
164 10/10/2005 22:08      us     light                                          east wenatchee
165 10/10/2005 23:00      us     light                                          hendersonville
166 10/10/2005 23:07      us      disk                                                brainerd
167 10/10/2005 24:00      us      disk                                                franklin
